attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
37,66,785020,142665,115647,123372,95424,111400,27648,4001
35,43,2801629,72911,1949,6329,26784,21052,5088,2579
50,84,190664,16439,37840,27985,14421,29764,3025,520
50,84,881541,88725,7110,26381,44491,40339,5379,5020
50,84,791648,11498,59310,36492,30195,22489,6790,1427
50,84,1413641,21760,27570,7704,13327,9778,4685,1900
50,84,170734,111279,46076,11567,34885,49556,28881,3626
34,63,256246,282007,24638,38231,62964,13968,9273,6822
24,53,102873,10922,8128,2382,4438,2394,755,270
27,70,1096114,387046,110268,88454,198977,137447,46046,6233
17,63,1321774,19623,17936,5028,9568,5093,1368,303
24,90,58581,14914,27190,4119,4259,3273,2047,946
10,56,107432,29986,8680,7579,5012,5409,1024,608
8,20,39712,14982,1068,1050,2861,1058,237,242
1,35,2228260,221287,89344,37020,20413,20206,13294,8749
10,50,1068279,103553,47151,47503,37496,34919,5790,5506
16,29,1686261,282759,24744,65840,70607,87418,19640,6999
16,29,609176,72263,12803,5327,33883,27671,4360,2626
16,29,139174,6180,2748,1536,1674,843,311,250
16,29,846826,61047,47390,35627,61274,36934,12492,12499
16,29,1131150,39834,10143,7918,4183,2351,887,449
16,29,798005,140767,57515,47207,36374,32791,35938,22291
16,29,338225,85508,12000,11400,27578,28150,10943,6079
16,29,310571,43533,32712,11162,20404,26196,9672,5652
16,29,1710211,181235,116993,43769,44252,60855,76476,47084
16,29,162594,3382,2612,10518,10169,1592,761,832
16,29,1635419,92718,73170,53689,165773,107187,27497,5965
24,50,871701,34530,18857,16291,24861,7366,1311,1911
29,43,309097,373141,83269,40397,22489,45356,11394,4317
35,34,1362027,124540,12595,53215,84812,45682,13107,4192
40,51,2271075,591617,163362,201937,135317,262821,18375,9838
40,51,375101,34210,6629,4640,7951,8425,2478,1114
40,51,246835,39991,17016,38083,16319,24220,11230,7873
41,48,763828,99354,32073,23907,23690,19276,2495,1728
41,48,1138854,266266,119323,37288,218529,122136,21522,3911
41,48,1178370,516757,243006,741785,64397,354929,92191,20241
51,24,149281,57751,9627,6858,35414,8645,681,367
51,24,1362395,361290,95911,165252,1363110,686006,1149123,315289
51,24,1419897,317141,69400,104817,227691,92955,6211,23249
51,24,1709779,957632,180161,362840,831138,224267,66556,14760
51,24,829887,326196,25091,102082,87092,59983,13719,2807
51,21,177343,8939,4309,1695,6746,4857,593,176
66,1,581765,40515,3370,1736,9432,18344,2761,1671
63,20,370190,131491,43235,47896,30526,61158,13713,4704
63,20,587958,45405,180125,94826,99435,112254,13168,15518
63,20,721421,4595,10629,12363,17191,13662,3069,949
63,20,1084639,50426,15505,33062,23779,35120,4498,1296
83,27,817757,97065,37157,45543,83471,94862,16106,2855
83,27,1589960,154882,19710,199105,67958,63191,115355,49043
83,27,1097326,156834,168022,113600,68989,253036,131416,91072
83,27,757142,554582,103167,78164,410781,680608,99199,72505
83,27,96422,228039,60930,129023,37214,95870,35196,14150
83,27,1532764,1121822,135917,381664,466555,669328,375498,577012
83,27,615319,75162,16966,31615,30706,33346,19615,10814
